"State_Code","State_Name","District_ID","District_Name","School_ID","School_Name","Combined_Key","Juvenile_Justice_School","CS_Classes_Offered","CS_Hispanic_Male","CS_Hispanic_Female","CS_AmericanIndian_Male","CS_AmericanIndian_Female","CS_Asian_Male","CS_Asian_Female","CS_PacificIslander_Male","CS_PacificIslander_Female","CS_Black_Male","CS_Black_Female","CS_White_Male","CS_White_Female","CS_TwoOrMore_Male","CS_TwoOrMore_Female","CS_Total_Male","CS_Total_Female","CS_EnglishLearner_Male","CS_EnglishLearner_Female","CS_Disability_Male","CS_Disability_Female","SCHOOL_YEAR","VIRTUAL_TEXT","TitleI_Status","school_enrollment","Elementary","Middle","High","sex_female","sex_male","race_american_indian","race_asian","race_black","race_hispanic","race_pacific_islander","race_multiracial","race_white","sex_total","race_total","sex_female_prop","sex_male_prop","race_american_indian_prop","race_asian_prop","race_black_prop","race_hispanic_prop","race_pacific_islander_prop","race_multiracial_prop","race_white_prop","Total_CS_Enrolment","White_CS","Black_CS","Hispanic_CS","Asian_CS","AmericanIndian_CS","Multiracial_CS","Disability_CS","EnglishLearner_CS","Prop_Male_CS","Prop_Female_CS","Race_Total_CS","Race_Exceeds_Total","Total_Race_CS","Prop_Black_CS","Prop_White_CS","Prop_Hispanic_CS","Prop_Asian_CS","Prop_AmericanIndian_CS","Prop_Multiracial_CS","has_CCD_info"
"AR","ARKANSAS","0500015","SHERIDAN SCHOOL DISTRICT",1677,"EAST END MIDDLE SCHOOL","050001501677","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",2055,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NC","NORTH CAROLINA","3702970","Charlotte-Mecklenburg Schools",1221,"Harding University High School","370297001221","No",36,98,64,0,0,7,2,0,1,155,106,9,2,1,3,270,178,45,26,24,15,"2021-2022","No virtual instruction","Schoolwide",8095,NA,NA,1,1456,1782,4,92,1774,1262,2,50,54,3238,3238,0.449660284126004,0.550339715873996,0.00123533045089561,0.0284126003705991,0.547869054972205,0.389746757257566,0.000617665225447807,0.0154416306361952,0.0166769610870908,448,11,261,162,9,0,4,39,71,0.602678571428571,0.397321428571429,447,FALSE,447,0.583892617449664,0.0246085011185682,0.36241610738255,0.0201342281879195,0,0.00894854586129754,TRUE
"CO","Colorado","0803480","Durango School District No. 9-R",454,"Park Elementary School","080348000454","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",2125,1,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,486,0,716,NA,NA,NA,NA,NA,0.32122905027933,NA,NA,0.67877094972067,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CO","Colorado","0803360","School District No. 1 In The County Of Denver And State Of C",6551,"West Early College","080336006551","No",3,28,20,1,0,0,0,0,0,3,2,2,2,0,1,34,25,10,6,10,2,"2020-2021","No virtual instruction","Schoolwide",3055,NA,1,1,NA,NA,NA,NA,122,994,NA,NA,NA,0,1116,NA,NA,NA,NA,0.109318996415771,0.890681003584229,NA,NA,NA,59,4,5,48,0,1,1,12,16,0.576271186440678,0.423728813559322,59,FALSE,59,0.0847457627118644,0.0677966101694915,0.813559322033898,0,0.0169491525423729,0.0169491525423729,TRUE
"OR","Oregon","4103420","Corbett Sd 39",1729,"Corbett School","410342001729","No",5,7,5,0,0,1,1,0,0,0,1,32,34,5,2,45,43,1,2,3,7,"2020-2021","Supplemental Virtual","Schoolwide",5410,1,1,1,1090,1066,22,30,22,192,4,202,1684,2156,2156,0.50556586270872,0.49443413729128,0.0102040816326531,0.0139146567717996,0.0102040816326531,0.0890538033395176,0.00185528756957328,0.0936920222634508,0.781076066790352,88,66,1,12,2,0,7,10,3,0.511363636363636,0.488636363636364,88,FALSE,88,0.0113636363636364,0.75,0.136363636363636,0.0227272727272727,0,0.0795454545454545,TRUE
"PA","Pennsylvania","4212725","Keystone Central Sd",1570,"Mill Hall El Sch","421272501570","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",1515,1,1,NA,296,310,0,6,0,42,0,26,532,606,606,0.488448844884488,0.511551155115512,0,0.0099009900990099,0,0.0693069306930693,0,0.0429042904290429,0.877887788778878,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NV","Nevada","3200001","State-Sponsored Charter Schools",893,"Doral Academy Fire Mesa","320000100893","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Not_TitleI",4925,1,1,NA,1060,910,4,84,208,738,28,200,708,1970,1970,0.538071065989848,0.461928934010152,0.00203045685279188,0.0426395939086294,0.105583756345178,0.374619289340102,0.0142131979695431,0.101522842639594,0.359390862944162,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"PA","Pennsylvania","4224790","Wallingford-Swarthmore Sd",1906,"Wallingford El Sch","422479001906","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Not_TitleI",2770,1,NA,NA,526,582,0,58,68,36,0,72,874,1108,1108,0.474729241877256,0.525270758122744,0,0.0523465703971119,0.0613718411552347,0.0324909747292419,0,0.0649819494584837,0.788808664259928,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MD","MARYLAND","2400270","Charles County Public Schools",588,"Gale-Bailey Elementary School","240027000588","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Supplemental Virtual","Not_TitleI",1710,1,NA,NA,NA,NA,NA,NA,226,NA,NA,NA,300,0,526,NA,NA,NA,NA,0.429657794676806,NA,NA,NA,0.570342205323194,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"IL","ILLINOIS","1707440","Brownstown CUSD 201",382,"Brownstown Jr High School","170744000382","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Targeted",290,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,0,108,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
